City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
196,san borja,-14.8167,-66.85,302.56,64,98,1.97,BO,1701641234
197,kalmunai,7.4167,81.8167,298.3,90,44,3.63,LK,1701641493
198,aykhal,66.0,111.5,234.74,100,54,2.42,RU,1701641094
199,sterling,39.0062,-77.4286,286.6,89,100,0.45,US,1701641071
200,grand falls-windsor,48.9332,-55.6649,272.32,74,100,0.65,CA,1701641147
201,bonthe,7.5264,-12.505,300.0,84,84,2.79,SL,1701641158
202,alcacer do sal,38.3733,-8.5144,285.87,82,87,5.35,PT,1701641494
203,taksimo,56.3444,114.8794,256.55,92,99,0.6,RU,1701641106
204,ravar,31.2656,56.8055,284.81,32,0,0.79,IR,1701641494
205,pont rouge,48.8833,-72.0825,265.21,83,100,3.02,CA,1701641494
206,wenchang,30.904,118.4887,278.86,52,88,1.75,CN,1701641494
207,aguas formosas,-17.0822,-40.9358,295.55,92,93,1.39,BR,1701641494
208,lubango,-14.9172,13.4925,289.38,96,96,0.34,AO,1701641495
209,san carlos,9.6612,-68.5827,301.59,61,89,1.73,VE,1701641495
210,felipe carrillo puerto,19.5833,-88.05,301.45,77,21,2.2,MX,1701641468
211,las animas,-39.8087,-73.2182,290.99,30,0,3.18,CL,1701641495
212,iskateley,67.6803,53.1512,257.05,95,100,4.47,RU,1701641123
213,kendari,-3.945,122.4989,297.74,92,100,1.35,ID,1701641496
214,fortuna,40.5982,-124.1573,289.07,92,100,2.68,US,1701641102
215,kavaratti,10.5669,72.642,301.45,77,94,5.04,IN,1701641131
216,jinchang,38.4953,102.1739,275.22,26,2,2.64,CN,1701641496
217,kimbe,-5.5502,150.1429,301.49,76,24,1.16,PG,1701641418
218,luganville,-15.5333,167.1667,300.8,82,79,6.01,VU,1701641497
219,happy valley-goose bay,53.3168,-60.3315,259.32,72,0,2.06,CA,1701640814
220,san jorge,-31.8962,-61.8598,289.34,48,100,6.77,AR,1701641497
221,holualoa,19.6228,-155.9522,299.54,81,40,4.12,US,1701641109
222,colonia,50.9333,6.95,274.59,87,75,4.63,DE,1701641088
223,falam,22.9167,93.6833,285.5,67,96,0.83,MM,1701641497
224,ancud,-41.8697,-73.8203,285.88,58,21,2.1,CL,1701641014
225,waterboro,43.5356,-70.7151,276.1,81,100,4.12,US,1701641498
226,talaja,21.35,72.05,296.85,75,3,6.65,IN,1701641498
227,ilinge,-31.9768,27.0427,288.66,90,78,2.75,ZA,1701641498
228,crane,31.3974,-102.3501,292.81,18,0,8.7,US,1701641081
229,minab,27.1467,57.0801,296.68,54,2,1.36,IR,1701641498
230,labasa,-16.4167,179.3833,304.25,61,22,3.65,FJ,1701641499
231,magong,23.5654,119.5863,294.27,88,100,10.88,TW,1701641499
232,cobija,-11.0267,-68.7692,298.31,90,100,1.74,BO,1701641125
233,magole,-6.3667,37.3667,295.71,95,100,0.59,TZ,1701641499
234,ola,59.5833,151.2833,253.95,93,81,3.38,RU,1701641120
235,mount gambier,-37.8333,140.7667,293.61,42,44,4.04,AU,1701641499
236,mili,6.0815,171.735,300.53,81,100,5.74,MH,1701641140
237,retreat,38.8245,-85.8533,283.12,60,78,2.24,US,1701641500
238,north bend,43.4065,-124.2243,288.28,94,100,8.23,US,1701641500
239,mount pearl,47.5166,-52.7813,273.79,79,100,2.06,CA,1701641072
240,freetown,8.484,-13.2299,300.23,79,95,1.88,SL,1701641500
241,alappuzha,9.49,76.3264,300.14,80,93,1.87,IN,1701641405
242,al bardiyah,31.7561,25.0865,290.81,60,0,3.21,LY,1701641500
243,tabatinga,-4.2525,-69.9381,297.2,94,75,2.57,BR,1701641500
244,chegdomyn,51.1167,133.0167,261.3,93,100,1.37,RU,1701641500
245,vernon,50.2581,-119.2691,276.27,91,100,0.51,CA,1701640963
246,east london,-33.0153,27.9116,293.06,89,98,2.39,ZA,1701641076
247,cururupu,-1.8283,-44.8683,299.18,81,91,2.17,BR,1701641501
